model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,cert_region
CHRYSLER PT Cruiser,2.4,(4 cyl),Auto-L4,2WD,Gasoline,SUV,6,19,24,21,6,no,FA
CHRYSLER PT Cruiser,2.4,(4 cyl),Man-5,2WD,Gasoline,SUV,6,20,25,22,6,no,FA
CHRYSLER PT Cruiser,2.4,(4 cyl),Man-5,2WD,Gasoline,SUV,6,21,26,23,7,yes,FA
CHRYSLER PT Cruiser,2.4,(4 cyl),Auto-L4,2WD,Gasoline,SUV,6,18,24,21,6,no,CA
CHRYSLER PT Cruiser,2.4,(4 cyl),Auto-L4,2WD,Gasoline,SUV,6,19,24,21,6,no,CA
CHRYSLER PT Cruiser,2.4,(4 cyl),Man-5,2WD,Gasoline,SUV,6,20,25,22,6,no,CA
CHRYSLER PT Cruiser,2.4,(4 cyl),Man-5,2WD,Gasoline,SUV,6,21,26,23,7,yes,CA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,7,18,24,21,6,yes,CA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,7,19,24,21,6,yes,CA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,small car,7,20,25,22,6,yes,CA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,6,18,24,21,6,no,FA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,6,19,24,21,6,no,FA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,small car,6,20,25,22,6,no,FA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,small car,6,21,26,23,7,yes,FA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,6,18,24,21,6,no,CA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,6,19,24,21,6,no,CA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,small car,6,20,25,22,6,no,CA
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,small car,6,21,26,23,7,yes,CA
CHRYSLER Pacifica,3.8,(6 cyl),Auto-L4,2WD,Gasoline,SUV,7,15,22,18,5,no,CA
CHRYSLER Pacifica,4.0,(6 cyl),Auto-L6,2WD,Gasoline,SUV,7,15,23,17,4,no,CA
CHRYSLER Pacifica,4.0,(6 cyl),Auto-L6,4WD,Gasoline,SUV,7,14,22,17,4,no,CA
CHRYSLER Pacifica,3.8,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,15,22,18,5,no,FA
CHRYSLER Pacifica,4.0,(6 cyl),Auto-L6,2WD,Gasoline,SUV,6,15,23,17,4,no,FA
CHRYSLER Pacifica,4.0,(6 cyl),Auto-L6,4WD,Gasoline,SUV,6,14,22,17,4,no,FA
CHRYSLER SRT-8,3.5,(6 cyl),Auto-L5,2WD,Gasoline,large car,7,17,24,20,6,yes,CA
CHRYSLER SRT-8,3.5,(6 cyl),Auto-L4,2WD,Gasoline,large car,7,17,24,20,6,yes,CA
CHRYSLER SRT-8,5.7,(8 cyl),Auto-L5,2WD,Gasoline,large car,7,15,23,18,5,no,FC
CHRYSLER SRT-8,2.7,(6 cyl),Auto-L4,2WD,Gasoline,large car,6,18,26,21,6,no,FA
CHRYSLER SRT-8,2.7,(6 cyl),Auto-L4,2WD,Gasoline,large car,6,18,26,21,6,no,CA
CHRYSLER SRT-8,3.5,(6 cyl),Auto-L5,2WD,Gasoline,large car,6,17,24,20,6,no,FA
CHRYSLER SRT-8,3.5,(6 cyl),Auto-L4,2WD,Gasoline,large car,6,17,24,20,6,no,FA
CHRYSLER SRT-8,6.1,(8 cyl),Auto-L5,2WD,Gasoline,large car,6,13,18,15,3,no,FA
CHRYSLER SRT-8,6.1,(8 cyl),Auto-L5,2WD,Gasoline,large car,6,13,18,15,3,no,CA
CHRYSLER Sebring,2.4,(4 cyl),Auto-L4,2WD,Gasoline,midsize car,7,21,30,24,7,yes,CA
CHRYSLER Sebring,3.5,(6 cyl),Auto-L6,4WD,Gasoline,midsize car,7,15,24,18,5,no,CA
CHRYSLER Sebring,3.5,(6 cyl),Auto-L6,2WD,Gasoline,midsize car,7,16,26,19,5,no,CA
CHRYSLER Sebring,2.4,(4 cyl),Auto-L4,2WD,Gasoline,midsize car,6,21,30,24,7,yes,FA
CHRYSLER Sebring,2.4,(4 cyl),Auto-L4,2WD,Gasoline,midsize car,6,21,30,24,7,yes,CA
CHRYSLER Sebring,2.7,(6 cyl),Auto-L4,2WD,Gasoline,midsize car,6,19,27,22,6,no,CA
CHRYSLER Sebring,3.5,(6 cyl),Auto-L6,4WD,Gasoline,midsize car,6,15,24,18,5,no,FA
CHRYSLER Sebring,3.5,(6 cyl),Auto-L6,2WD,Gasoline,midsize car,6,16,26,19,5,no,FA
CHRYSLER Sebring,2.7,(6 cyl),Auto-L4,2WD,ethanol/gas,midsize car,3/3,13/19,20/27,16/22,8/6,no,FA
CHRYSLER Sebring Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,7,20,29,23,7,yes,CA
CHRYSLER Sebring Convertible,3.5,(6 cyl),Auto-L6,2WD,Gasoline,small car,7,16,26,19,5,no,CA
CHRYSLER Sebring Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,6,20,29,23,7,yes,FA
CHRYSLER Sebring Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,small car,6,20,29,23,7,yes,CA
CHRYSLER Sebring Convertible,2.7,(6 cyl),Auto-L4,2WD,Gasoline,small car,6,18,26,21,6,no,CA
CHRYSLER Sebring Convertible,3.5,(6 cyl),Auto-L6,2WD,Gasoline,small car,6,16,26,19,5,no,FA
CHRYSLER Sebring Convertible,2.7,(6 cyl),Auto-L4,2WD,ethanol/gas,small car,3/3,13/18,19/26,15/21,7/6,no,FA
CHRYSLER Town & Country,3.3,(6 cyl),Auto-L4,2WD,Gasoline,minivan,7,17,24,19,5,no,CA
CHRYSLER Town & Country,3.8,(6 cyl),Auto-L6,2WD,Gasoline,minivan,7,16,23,18,5,no,CA
CHRYSLER Town & Country,4.0,(6 cyl),Auto-L6,2WD,Gasoline,minivan,7,16,23,18,5,no,CA
CHRYSLER Town & Country,3.3,(6 cyl),Auto-L4,2WD,ethanol,minivan,6,11,17,13,6,no,FC
CHRYSLER Town & Country,3.3,(6 cyl),Auto-L4,2WD,Gasoline,minivan,6,17,24,19,5,no,FA
CHRYSLER Town & Country,3.8,(6 cyl),Auto-L6,2WD,Gasoline,minivan,6,16,23,18,5,no,FA
CHRYSLER Town & Country,4.0,(6 cyl),Auto-L6,2WD,Gasoline,minivan,6,16,23,18,5,no,FA
DODGE 3500,3.5,,,,Gasoline,special purpose,1,,,,,no,FA
DODGE 3500,3.5,,,,Gasoline,special purpose,1,,,,,no,CA
DODGE Avenger,2.4,(4 cyl),Auto-L4,2WD,Gasoline,midsize car,7,21,30,24,7,yes,CA
DODGE Avenger,3.5,(6 cyl),Auto-L6,4WD,Gasoline,midsize car,7,15,24,18,5,no,CA
DODGE Avenger,3.5,(6 cyl),Auto-L6,2WD,Gasoline,midsize car,7,16,26,19,5,no,CA
DODGE Avenger,2.4,(4 cyl),Auto-L4,2WD,Gasoline,midsize car,6,21,30,24,7,yes,FA
DODGE Avenger,2.4,(4 cyl),Auto-L4,2WD,Gasoline,midsize car,6,21,30,24,7,yes,CA
DODGE Avenger,2.7,(6 cyl),Auto-L4,2WD,Gasoline,midsize car,6,19,27,22,6,no,CA
DODGE Avenger,3.5,(6 cyl),Auto-L6,4WD,Gasoline,midsize car,6,15,24,18,5,no,FA
DODGE Avenger,3.5,(6 cyl),Auto-L6,2WD,Gasoline,midsize car,6,16,26,19,5,no,FA
DODGE Avenger,2.7,(6 cyl),Auto-L4,2WD,ethanol/gas,midsize car,3/3,13/19,20/27,16/22,8/6,no,FA
DODGE Caliber,2.4,(4 cyl),Auto-AV,4WD,Gasoline,midsize car,7,21,24,22,6,yes,CA
DODGE Caliber,2.4,(4 cyl),Auto-AV,2WD,Gasoline,midsize car,7,21,25,23,7,yes,CA
DODGE Caliber,2.0,(4 cyl),Auto-AV,2WD,Gasoline,midsize car,6,23,27,24,7,yes,FA
DODGE Caliber,2.0,(4 cyl),Auto-AV,2WD,Gasoline,midsize car,6,23,27,24,7,yes,CA
DODGE Caliber,2.4,(4 cyl),Auto-AV,4WD,Gasoline,midsize car,6,21,24,22,6,no,FA
DODGE Caliber,2.4,(4 cyl),Auto-AV,2WD,Gasoline,midsize car,6,21,25,23,7,yes,FA
DODGE Caliber,2.4,(4 cyl),Auto-AV,2WD,Gasoline,midsize car,6,21,25,23,7,yes,CA
DODGE Caravan,3.3,(6 cyl),Auto-L4,2WD,Gasoline,minivan,7,17,24,19,5,no,CA
DODGE Caravan,3.8,(6 cyl),Auto-L6,2WD,Gasoline,minivan,7,16,23,18,5,no,CA
DODGE Caravan,4.0,(6 cyl),Auto-L6,2WD,Gasoline,minivan,7,16,23,18,5,no,CA
DODGE Caravan,3.3,(6 cyl),Auto-L4,2WD,ethanol/gas,minivan,6/6,11/17,17/24,13/19,6/5,no,FC
DODGE Caravan,3.3,(6 cyl),Auto-L4,2WD,Gasoline,minivan,6,17,24,19,5,no,FA
DODGE Caravan,3.8,(6 cyl),Auto-L6,2WD,Gasoline,minivan,6,16,23,18,5,no,FA
DODGE Caravan,4.0,(6 cyl),Auto-L6,2WD,Gasoline,minivan,6,16,23,18,5,no,FA
DODGE Challenger,6.1,(8 cyl),Auto-L5,2WD,Gasoline,midsize car,6,13,18,15,3,no,FA
DODGE Challenger,6.1,(8 cyl),Auto-L5,2WD,Gasoline,midsize car,6,13,18,15,3,no,CA
DODGE Charger,3.5,(6 cyl),Auto-L5,4WD,Gasoline,large car,7,15,22,18,5,no,CA
DODGE Charger,3.5,(6 cyl),Auto-L5,2WD,Gasoline,large car,7,17,24,20,6,yes,CA
DODGE Charger,3.5,(6 cyl),Auto-L4,2WD,Gasoline,large car,7,17,24,20,6,yes,CA
DODGE Charger,5.7,(8 cyl),Auto-L5,4WD,Gasoline,large car,7,15,22,18,5,no,FC
DODGE Charger,5.7,(8 cyl),Auto-L5,2WD,Gasoline,large car,7,15,23,18,5,no,FC
DODGE Charger,2.7,(6 cyl),Auto-L4,2WD,Gasoline,large car,6,18,26,21,6,no,FA
DODGE Charger,2.7,(6 cyl),Auto-L4,2WD,Gasoline,large car,6,18,26,21,6,no,CA
DODGE Charger,3.5,(6 cyl),Auto-L5,4WD,Gasoline,large car,6,15,22,18,5,no,FA
DODGE Charger,3.5,(6 cyl),Auto-L5,2WD,Gasoline,large car,6,17,24,20,6,no,FA
DODGE Charger,3.5,(6 cyl),Auto-L4,2WD,Gasoline,large car,6,17,24,20,6,no,FA
DODGE Charger,6.1,(8 cyl),Auto-L5,2WD,Gasoline,large car,6,13,18,15,3,no,FA
DODGE Charger,6.1,(8 cyl),Auto-L5,2WD,Gasoline,large car,6,13,18,15,3,no,CA
DODGE Dakota,3.7,(6 cyl),Auto-L4,2WD,Gasoline,pickup,7,15,20,17,4,no,CA
DODGE Dakota,3.7,(6 cyl),Auto-L4,4WD,Gasoline,pickup,7,14,18,15,3,no,CA
DODGE Dakota,4.7,(8 cyl),Auto-L5,2WD,Gasoline,pickup,7,14,19,15,3,no,CA
DODGE Dakota,4.7,(8 cyl),Auto-L5,4WD,Gasoline,pickup,7,14,19,15,3,no,CA
DODGE Dakota,3.7,(6 cyl),Auto-L4,2WD,Gasoline,pickup,6,15,20,17,4,no,FA
DODGE Dakota,3.7,(6 cyl),Man-6,2WD,Gasoline,pickup,6,16,20,18,5,no,FA
DODGE Dakota,3.7,(6 cyl),Auto-L4,4WD,Gasoline,pickup,6,14,18,15,3,no,FA
DODGE Dakota,3.7,(6 cyl),Man-6,4WD,Gasoline,pickup,6,15,19,16,4,no,FA
DODGE Dakota,3.7,(6 cyl),Auto-L4,2WD,Gasoline,pickup,6,15,20,17,4,no,CA
DODGE Dakota,3.7,(6 cyl),Man-6,2WD,Gasoline,pickup,6,16,20,18,5,no,CA
DODGE Dakota,3.7,(6 cyl),Auto-L4,4WD,Gasoline,pickup,6,14,18,15,3,no,CA
DODGE Dakota,3.7,(6 cyl),Man-6,4WD,Gasoline,pickup,6,15,19,16,4,no,CA
DODGE Dakota,4.7,(8 cyl),Auto-L5,2WD,ethanol/gas,pickup,3/3,9/14,12/19,10/15,4/3,no,FA
DODGE Dakota,4.7,(8 cyl),Auto-L5,4WD,ethanol/gas,pickup,3/3,9/14,12/19,10/15,4/3,no,FA
DODGE Durango,3.7,(6 cyl),Auto-L4,2WD,Gasoline,SUV,7,14,19,16,4,no,CA
DODGE Durango,4.7,(8 cyl),Auto-L5,2WD,Gasoline,SUV,7,14,19,15,3,no,CA
DODGE Durango,4.7,(8 cyl),Auto-L5,4WD,Gasoline,SUV,7,13,17,15,3,no,CA
DODGE Durango,3.7,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,14,19,16,4,no,FA
DODGE Durango,5.7,(8 cyl),Auto-L5,2WD,Gasoline,SUV,6,13,19,15,3,no,FA
DODGE Durango,5.7,(8 cyl),Auto-L5,4WD,Gasoline,SUV,6,13,18,15,3,no,FA
DODGE Durango,5.7,(8 cyl),Auto-L5,2WD,Gasoline,SUV,6,13,19,15,3,no,CA
DODGE Durango,5.7,(8 cyl),Auto-L5,4WD,Gasoline,SUV,6,13,18,15,3,no,CA
DODGE Durango,4.7,(8 cyl),Auto-L5,2WD,ethanol/gas,SUV,3/3,9/14,12/19,10/15,4/3,no,FA
DODGE Durango,4.7,(8 cyl),Auto-L5,4WD,ethanol/gas,SUV,3/3,9/13,12/17,10/15,4/3,no,FA
DODGE Magnum,3.5,(6 cyl),Auto-L5,2WD,Gasoline,SUV,7,17,24,20,6,yes,CA
DODGE Magnum,3.5,(6 cyl),Auto-L4,2WD,Gasoline,SUV,7,17,24,20,6,yes,CA
DODGE Magnum,3.5,(6 cyl),Auto-L5,4WD,Gasoline,SUV,7,15,22,18,5,no,CA
DODGE Magnum,5.7,(8 cyl),Auto-L5,2WD,Gasoline,SUV,7,15,23,18,5,no,FC
DODGE Magnum,5.7,(8 cyl),Auto-L5,4WD,Gasoline,SUV,7,15,22,18,5,no,FC
DODGE Magnum,2.7,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,18,26,21,6,no,FA
DODGE Magnum,2.7,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,18,26,21,6,no,CA
DODGE Magnum,3.5,(6 cyl),Auto-L5,2WD,Gasoline,SUV,6,17,24,20,6,no,FA
DODGE Magnum,3.5,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,17,24,20,6,no,FA
DODGE Magnum,3.5,(6 cyl),Auto-L5,4WD,Gasoline,SUV,6,15,22,18,5,no,FA
DODGE Magnum,6.1,(8 cyl),Auto-L5,2WD,Gasoline,SUV,6,13,18,15,3,no,FA
DODGE Magnum,6.1,(8 cyl),Auto-L5,2WD,Gasoline,SUV,6,13,18,15,3,no,CA
DODGE Nitro,3.7,(6 cyl),Auto-L4,2WD,Gasoline,SUV,7,16,22,18,5,no,CA
DODGE Nitro,3.7,(6 cyl),Auto-L4,4WD,Gasoline,SUV,7,15,21,17,4,no,CA
DODGE Nitro,3.7,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,16,22,18,5,no,FA
DODGE Nitro,3.7,(6 cyl),Man-6,2WD,Gasoline,SUV,6,16,22,19,5,no,FA
DODGE Nitro,3.7,(6 cyl),Auto-L4,4WD,Gasoline,SUV,6,15,21,17,4,no,FA
DODGE Nitro,3.7,(6 cyl),Man-6,4WD,Gasoline,SUV,6,16,22,18,5,no,FA
DODGE Nitro,3.7,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,16,22,18,5,no,CA
DODGE Nitro,3.7,(6 cyl),Man-6,2WD,Gasoline,SUV,6,16,22,19,5,no,CA
DODGE Nitro,3.7,(6 cyl),Auto-L4,4WD,Gasoline,SUV,6,15,21,17,4,no,CA
DODGE Nitro,3.7,(6 cyl),Man-6,4WD,Gasoline,SUV,6,16,22,18,5,no,CA
DODGE Nitro,4.0,(6 cyl),Auto-L5,2WD,Gasoline,SUV,6,16,21,18,5,no,FA
DODGE Nitro,4.0,(6 cyl),Auto-L5,2WD,Gasoline,SUV,6,16,21,18,5,no,CA
DODGE RAM 1500,3.7,(6 cyl),Auto-L4,2WD,Gasoline,pickup,7,14,19,16,4,no,CA
DODGE RAM 1500,4.7,(8 cyl),Auto-L5,2WD,Gasoline,pickup,7,13,18,15,3,no,CA
DODGE RAM 1500,4.7,(8 cyl),Auto-L5,4WD,Gasoline,pickup,7,13,17,15,3,no,CA
DODGE RAM 1500,3.7,(6 cyl),Auto-L4,2WD,Gasoline,pickup,6,14,19,16,4,no,FA
DODGE RAM 1500,3.7,(6 cyl),Man-6,2WD,Gasoline,pickup,6,16,19,17,4,no,FA
DODGE RAM 1500,3.7,(6 cyl),Auto-L4,2WD,Gasoline,pickup,6,14,19,16,4,no,CA
DODGE RAM 1500,3.7,(6 cyl),Man-6,2WD,Gasoline,pickup,6,16,19,17,4,no,CA
DODGE RAM 1500,4.7,(8 cyl),Man-6,2WD,Gasoline,pickup,6,13,17,14,2,no,FA
DODGE RAM 1500,4.7,(8 cyl),Man-6,4WD,Gasoline,pickup,6,12,16,14,2,no,FA
DODGE RAM 1500,4.7,(8 cyl),Man-6,2WD,Gasoline,pickup,6,13,17,14,2,no,CA
DODGE RAM 1500,4.7,(8 cyl),Man-6,4WD,Gasoline,pickup,6,12,16,14,2,no,CA
DODGE RAM 1500,5.7,(8 cyl),Auto-L5,2WD,Gasoline,pickup,6,13,19,15,3,no,FA
DODGE RAM 1500,5.7,(8 cyl),Auto-L5,4WD,Gasoline,pickup,6,13,17,14,2,no,FA
DODGE RAM 1500,5.7,(8 cyl),Auto-L5,2WD,Gasoline,pickup,6,13,19,15,3,no,CA
DODGE RAM 1500,5.7,(8 cyl),Auto-L5,4WD,Gasoline,pickup,6,13,17,14,2,no,CA
DODGE RAM 1500,4.7,(8 cyl),Auto-L5,2WD,ethanol/gas,pickup,3/3,9/13,12/18,10/15,4/3,no,FA
DODGE RAM 1500,4.7,(8 cyl),Auto-L5,4WD,ethanol/gas,pickup,3/3,9/13,12/17,10/15,4/3,no,FA
DODGE RAM 1500,5.7,,,2WD,Gasoline,pickup,2,,,,,no,FA
DODGE RAM 1500,5.7,,,4WD,Gasoline,pickup,2,,,,,no,FA
DODGE RAM 1500,5.7,,,2WD,Gasoline,pickup,2,,,,,no,CA
DODGE RAM 1500,5.7,,,4WD,Gasoline,pickup,2,,,,,no,CA
DODGE RAM 2500,5.7,,,2WD,Gasoline,pickup,2,,,,,no,FA
DODGE RAM 2500,5.7,,,4WD,Gasoline,pickup,2,,,,,no,FA
DODGE RAM 2500,5.7,,,,Gasoline,special purpose,2,,,,,no,FA
DODGE RAM 2500,5.7,,,2WD,Gasoline,pickup,2,,,,,no,CA
DODGE RAM 2500,5.7,,,4WD,Gasoline,pickup,2,,,,,no,CA
DODGE RAM 2500,5.7,,,,Gasoline,special purpose,2,,,,,no,CA
DODGE RAM 2500,6.7,,,2WD,diesel,pickup,2,,,,,no,FA
DODGE RAM 2500,6.7,,,4WD,diesel,pickup,2,,,,,no,FA
DODGE RAM 3500,5.7,,,2WD,Gasoline,pickup,1,,,,,no,CA
DODGE RAM 3500,5.7,,,4WD,Gasoline,pickup,1,,,,,no,CA
DODGE RAM 3500,5.7,,,,Gasoline,special purpose,1,,,,,no,CA
DODGE RAM 3500,6.7,,,2WD,diesel,pickup,1,,,,,no,FA
DODGE RAM 3500,6.7,,,4WD,diesel,pickup,1,,,,,no,FA
DODGE RAM 3500,5.7,,,2WD,Gasoline,pickup,0,,,,,no,FA
DODGE RAM 3500,5.7,,,4WD,Gasoline,pickup,0,,,,,no,FA
DODGE RAM 3500,5.7,,,,Gasoline,special purpose,0,,,,,no,FA
DODGE Sprinter 2500,3.5,,,,Gasoline,van,3,,,,,no,FA
DODGE Sprinter 2500,3.5,,,,Gasoline,van,3,,,,,no,FA
DODGE Sprinter 2500,3.5,,,,Gasoline,van,3,,,,,no,CA
DODGE Sprinter 2500,3.5,,,,Gasoline,van,3,,,,,no,CA
DODGE Viper,8.4,(10 cyl),Man-6,2WD,Gasoline,small car,6,13,22,16,4,no,FA
DODGE Viper,8.4,(10 cyl),Man-6,2WD,Gasoline,small car,6,13,22,16,4,no,CA
DODGE Viper Convertible,8.4,(10 cyl),Man-6,2WD,Gasoline,small car,6,13,22,16,4,no,FA
DODGE Viper Convertible,8.4,(10 cyl),Man-6,2WD,Gasoline,small car,6,13,22,16,4,no,CA
FERRARI 599 GTB Fiorano,5.9,(12 cyl),Auto-6,2WD,Gasoline,small car,6,11,15,12,0,no,FA
FERRARI 599 GTB Fiorano,5.9,(12 cyl),Man-6,2WD,Gasoline,small car,6,11,15,12,0,no,FA
FERRARI 599 GTB Fiorano,5.9,(12 cyl),Auto-6,2WD,Gasoline,small car,6,11,15,12,0,no,CA
FERRARI 599 GTB Fiorano,5.9,(12 cyl),Man-6,2WD,Gasoline,small car,6,11,15,12,0,no,CA
FERRARI 612 Scaglietti,5.7,(12 cyl),Auto-6,2WD,Gasoline,midsize car,6,9,16,11,0,no,FA
FERRARI 612 Scaglietti,5.7,(12 cyl),Man-6,2WD,Gasoline,midsize car,6,10,15,12,0,no,FA
FERRARI 612 Scaglietti,5.7,(12 cyl),Auto-6,2WD,Gasoline,midsize car,6,9,16,11,0,no,CA
FERRARI 612 Scaglietti,5.7,(12 cyl),Man-6,2WD,Gasoline,midsize car,6,10,15,12,0,no,CA
FORD Crown Victoria FFV,4.6,(8 cyl),Auto-L4,2WD,ethanol/gas,large car,6/6,11/15,16/23,13/18,6/5,no,FC
FORD E150,4.6,,,,Gasoline,van,3,,,,,no,FA
FORD E150,4.6,,,,Gasoline,van,3,,,,,no,FA
FORD E150,4.6,,,,Gasoline,van,3,,,,,no,CA
FORD E150,4.6,,,,Gasoline,van,3,,,,,no,CA
FORD E150,5.4,,,,Gasoline,van,3,,,,,no,FA
FORD E150,5.4,,,,Gasoline,van,3,,,,,no,FA
FORD E150,5.4,,,,Gasoline,van,3,,,,,no,CA
FORD E150,5.4,,,,Gasoline,van,3,,,,,no,CA
FORD E150,4.6,,,,Gasoline,van,2,,,,,no,FA
FORD E150,5.4,,,,Gasoline,van,2,,,,,no,FA
FORD E150 Club Wagon FFV,4.6,,,,ethanol/gas,van,3/3,,,,,no,FA
FORD E150 Club Wagon FFV,4.6,,,,ethanol/gas,van,3/3,,,,,no,CA
FORD E150 FFV,4.6,,,,ethanol/gas,van,3/3,,,,,no,FA
FORD E150 FFV,4.6,,,,ethanol/gas,van,3/3,,,,,no,CA
FORD E250,4.6,,,,Gasoline,special purpose,3,,,,,no,FA
FORD E250,4.6,,,,Gasoline,van,3,,,,,no,FA
FORD E250,4.6,,,,Gasoline,special purpose,3,,,,,no,CA
FORD E250,4.6,,,,Gasoline,van,3,,,,,no,CA
FORD E250,5.4,,,,Gasoline,van,3,,,,,no,FA
FORD E250,5.4,,,,Gasoline,van,3,,,,,no,CA
FORD E250,4.6,,,,Gasoline,van,2,,,,,no,FA
FORD E250,5.4,,,,Gasoline,van,2,,,,,no,FA
FORD E250 FFV,4.6,,,,ethanol/gas,van,3/3,,,,,no,FA
FORD E250 FFV,4.6,,,,ethanol/gas,van,3/3,,,,,no,CA
FORD E350,5.4,,,,Gasoline,special purpose,3,,,,,no,FA
FORD E350,5.4,,,,Gasoline,van,3,,,,,no,FA
FORD E350,5.4,,,,Gasoline,van,3,,,,,no,FA
FORD E350,5.4,,,,Gasoline,special purpose,3,,,,,no,CA
FORD E350,5.4,,,,Gasoline,van,3,,,,,no,CA
FORD E350,5.4,,,,Gasoline,van,3,,,,,no,CA
FORD E350,6.8,,,,Gasoline,van,3,,,,,no,FC
FORD E350,5.4,,,,Gasoline,van,2,,,,,no,FA
FORD E350,5.4,,,,Gasoline,van,2,,,,,no,FA
FORD Edge,3.5,(6 cyl),Auto-L6,2WD,Gasoline,SUV,7,16,24,19,5,no,CA
FORD Edge,3.5,(6 cyl),Auto-L6,4WD,Gasoline,SUV,7,15,22,18,5,no,CA
FORD Edge,3.5,(6 cyl),Auto-L6,2WD,Gasoline,SUV,6,16,24,19,5,no,FA
FORD Edge,3.5,(6 cyl),Auto-L6,4WD,Gasoline,SUV,6,15,22,18,5,no,FA
FORD Escape,2.3,(4 cyl),Man-5,2WD,Gasoline,SUV,7,22,28,24,7,yes,CA
FORD Escape,2.3,(4 cyl),Auto-L4,2WD,Gasoline,SUV,6,20,26,22,6,no,FA
FORD Escape,2.3,(4 cyl),Man-5,2WD,Gasoline,SUV,6,22,28,24,7,yes,FA
FORD Escape,2.3,(4 cyl),Auto-L4,4WD,Gasoline,SUV,6,19,24,21,6,no,FA
FORD Escape,2.3,(4 cyl),Auto-L4,2WD,Gasoline,SUV,6,20,26,22,6,no,CA
FORD Escape,2.3,(4 cyl),Auto-L4,4WD,Gasoline,SUV,6,19,24,21,6,no,CA
FORD Escape,3.0,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,18,24,20,6,no,FA
FORD Escape,3.0,(6 cyl),Auto-L4,4WD,Gasoline,SUV,6,17,22,19,5,no,FA
FORD Escape,3.0,(6 cyl),Auto-L4,2WD,Gasoline,SUV,6,18,24,20,6,no,CA
FORD Escape,3.0,(6 cyl),Auto-L4,4WD,Gasoline,SUV,6,17,22,19,5,no,CA
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,yes,CA
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,yes,CA
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,SUV,8,34,30,32,9,yes,FA
FORD Escape Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,SUV,8,29,27,28,8,yes,FA
FORD Expedition,5.4,(8 cyl),Auto-L6,2WD,Gasoline,SUV,7,12,18,14,2,no,CA
FORD Expedition,5.4,,,4WD,Gasoline,SUV,7,,,,,no,CA
FORD Expedition,5.4,(8 cyl),Auto-L6,2WD,Gasoline,SUV,6,12,18,14,2,no,FA
FORD Expedition,5.4,,,4WD,Gasoline,SUV,6,,,,,no,FA
FORD Explorer,4.0,(6 cyl),Auto-L5,2WD,Gasoline,SUV,7,14,20,16,4,no,FA
FORD Explorer,4.0,(6 cyl),Auto-L5,4WD,Gasoline,SUV,7,13,19,15,3,no,FA
FORD Explorer,4.0,(6 cyl),Auto-L5,2WD,Gasoline,SUV,7,14,20,16,4,no,CA
FORD Explorer,4.0,(6 cyl),Auto-L5,4WD,Gasoline,SUV,7,13,19,15,3,no,CA
FORD Explorer,4.6,(8 cyl),Auto-L6,2WD,Gasoline,SUV,7,13,20,16,4,no,CA
FORD Explorer,4.6,(8 cyl),Auto-L6,2WD,Gasoline,SUV,7,13,20,16,4,no,CA
FORD Explorer,4.6,(8 cyl),Auto-L6,4WD,Gasoline,SUV,7,13,19,15,3,no,CA
FORD Explorer,4.6,(8 cyl),Auto-L6,4WD,Gasoline,SUV,7,13,19,15,3,no,CA
FORD Explorer,4.6,(8 cyl),Auto-L6,2WD,Gasoline,SUV,6,13,20,16,4,no,FA
